Standard_Work,Book,Chapter,Verse_Count
Old Testament,Genesis,1,31
Old Testament,Genesis,2,25
Old Testament,Genesis,3,24
Old Testament,Genesis,4,26
Old Testament,Genesis,5,32
Old Testament,Genesis,6,22
Old Testament,Genesis,7,24
Old Testament,Genesis,8,22
Old Testament,Genesis,9,29
Old Testament,Genesis,10,32
Old Testament,Genesis,11,32
Old Testament,Genesis,12,20
Old Testament,Genesis,13,18
Old Testament,Genesis,14,24
Old Testament,Genesis,15,21
Old Testament,Genesis,16,16
Old Testament,Genesis,17,27
Old Testament,Genesis,18,33
Old Testament,Genesis,19,38
Old Testament,Genesis,20,18
Old Testament,Genesis,21,34
Old Testament,Genesis,22,24
Old Testament,Genesis,23,20
Old Testament,Genesis,24,67
Old Testament,Genesis,25,34
Old Testament,Genesis,26,35
Old Testament,Genesis,27,46
Old Testament,Genesis,28,22
Old Testament,Genesis,29,35
Old Testament,Genesis,30,43
Old Testament,Genesis,31,55
Old Testament,Genesis,32,32
Old Testament,Genesis,33,20
Old Testament,Genesis,34,31
Old Testament,Genesis,35,29
Old Testament,Genesis,36,43
Old Testament,Genesis,37,36
Old Testament,Genesis,38,30
Old Testament,Genesis,39,23
Old Testament,Genesis,40,23
Old Testament,Genesis,41,57
Old Testament,Genesis,42,38
Old Testament,Genesis,43,34
Old Testament,Genesis,44,34
Old Testament,Genesis,45,28
Old Testament,Genesis,46,34
Old Testament,Genesis,47,31
Old Testament,Genesis,48,22
Old Testament,Genesis,49,33
Old Testament,Genesis,50,26
Old Testament,Exodus,1,22
Old Testament,Exodus,2,25
Old Testament,Exodus,3,22
Old Testament,Exodus,4,31
Old Testament,Exodus,5,23
Old Testament,Exodus,6,30
Old Testament,Exodus,7,25
Old Testament,Exodus,8,32
Old Testament,Exodus,9,35
Old Testament,Exodus,10,29
Old Testament,Exodus,11,10
Old Testament,Exodus,12,51
Old Testament,Exodus,13,22
Old Testament,Exodus,14,31
Old Testament,Exodus,15,27
Old Testament,Exodus,16,36
Old Testament,Exodus,17,16
Old Testament,Exodus,18,27
Old Testament,Exodus,19,25
Old Testament,Exodus,20,26
Old Testament,Exodus,21,36
Old Testament,Exodus,22,31
Old Testament,Exodus,23,33
