Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
Book of Mormon,2 Nephi,31,20,68,"Wherefore, ye must press forward with a steadfastness in Christ, having a perfect brightness of hope, and a love of God and of all men. Wherefore, if ye shall press forward, feasting upon the word of Christ, and endure to the end, behold, thus saith the Father: Ye shall have eternal life.",21
Book of Mormon,Alma,7,12,64,"And he will take upon him death, that he may loose the bands of death which bind his people; and he will take upon him their infirmities, that his bowels may be filled with mercy, according to the flesh, that he may know according to the flesh how to succor his people according to their infirmities.",27
Book of Mormon,Alma,7,11,61,"And he shall go forth, suffering pains and afflictions and temptations of every kind; and this that the word might be fulfilled which saith he will take upon him the pains and the sicknesses of his people.",27
Pearl of Great Price,Moses,1,39,59,"For behold, this is my work and my glory—to bring to pass the immortality and eternal life of man.",42
New Testament,Matthew,11,28,52,"Come unto me, all ye that labour and are heavy laden, and I will give you rest.",30
Doctrine and Covenants,Doctrine and Covenants,20,77,52,"O God, the Eternal Father, we ask thee in the name of thy Son, Jesus Christ, to bless and sanctify this bread to the souls of all those who partake of it, that they may eat in remembrance of the body of thy Son, and witness unto thee, O God, the Eternal Father, that they are willing to take upon them the name of thy Son, and always remember him and keep his commandments which he has given them; that they may always have his Spirit to be with them. Amen.",84
Book of Mormon,Mosiah,18,9,50,"Yea, and are willing to mourn with those that mourn; yea, and comfort those that stand in need of comfort, and to stand as witnesses of God at all times and in all things, and in all places that ye may be in, even until death, that ye may be redeemed of God, and be numbered with those of the first resurrection, that ye may have eternal life—",35
Book of Mormon,Mosiah,2,41,47,"And moreover, I would desire that ye should consider on the blessed and happy state of those that keep the commandments of God. For behold, they are blessed in all things, both temporal and spiritual; and if they hold out faithful to the end they are received into heaven, that thereby they may dwell with God in a state of never-ending happiness. O remember, remember that these things are true; for the Lord God hath spoken it.",41
New Testament,John,3,16,47,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.",36
Book of Mormon,Moroni,10,32,47,"Yea, come unto Christ, and be perfected in him, and deny yourselves of all ungodliness; and if ye shall deny yourselves of all ungodliness, and love God with all your might, mind and strength, then is his grace sufficient for you, that by his grace ye may be perfect in Christ; and if by the grace of God ye are perfect in Christ, ye can in nowise deny the power of God.",34
Book of Mormon,Mosiah,3,19,46,"For the natural man is an enemy to God, and has been from the fall of Adam, and will be, forever and ever, unless he yields to the enticings of the Holy Spirit, and putteth off the natural man and becometh a saint through the atonement of Christ the Lord, and becometh as a child, submissive, meek, humble, patient, full of love, willing to submit to all things which the Lord seeth fit to inflict upon him, even as a child doth submit to his father.",27
New Testament,Matthew,22,37,45,"Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.",46
Doctrine and Covenants,Doctrine and Covenants,84,20,43,"Therefore, in the ordinances thereof, the power of godliness is manifest.",120
New Testament,Matthew,22,39,43,"And the second is like unto it, Thou shalt love thy neighbour as thyself.",46
Book of Mormon,2 Nephi,31,19,42,"And now, my beloved brethren, after ye have gotten into this strait and narrow path, I would ask if all is done? Behold, I say unto you, Nay; for ye have not come thus far save it were by the word of Christ with unshaken faith in him, relying wholly upon the merits of him who is mighty to save.",21
Book of Mormon,Moroni,7,48,40,"Wherefore, my beloved brethren, pray unto the Father with all the energy of heart, that ye may be filled with this love, which he hath bestowed upon all who are true followers of his Son, Jesus Christ; that ye may become the sons of God; that when he shall appear we shall be like him, for we shall see him as he is; that we may have this hope; that we may be purified even as he is pure. Amen.",48
Pearl of Great Price,Joseph Smith—History,1,17,39,"It no sooner appeared than I found myself delivered from the enemy which held me bound. When the light rested upon me I saw two Personages, whose brightness and glory defy all description, standing above me in the air. One of them spake unto me, calling me by name and said, pointing to the other—This is My Beloved Son. Hear Him!",75
New Testament,Matthew,11,29,39,"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls.",30
New Testament,Matthew,22,38,36,This is the first and great commandment.,46
Doctrine and Covenants,Doctrine and Covenants,6,36,34,"Look unto me in every thought; doubt not, fear not.",37
Book of Mormon,2 Nephi,26,33,34,"For none of these iniquities come of the Lord; for he doeth that which is good among the children of men; and he doeth nothing save it be plain unto the children of men; and he inviteth them all to come unto him and partake of his goodness; and he denieth none that come unto him, black and white, bond and free, male and female; and he remembereth the heathen; and all are alike unto God, both Jew and Gentile.",33
New Testament,Matthew,11,30,33,"For my yoke is easy, and my burden is light.",30
New Testament,John,14,6,33,"Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me.",31
Book of Mormon,Moroni,7,47,33,"But charity is the pure love of Christ, and it endureth forever; and whoso is found possessed of it at the last day, it shall be well with him.",48
